Region,Country,ItemType,SalesChannel,OrderPriority,OrderDate,OrderID,ShipDate,UnitsSold,UnitPrice,UnitCost,TotalRevenue,TotalCost,TotalProfit
Europe,Estonia,Fruits,Online,L,9/28/2016,579463422,11/01/2016,4958,9.33,6.92,46258.14,34309.36,11948.78
Australia and Oceania,Tuvalu,Beverages,Offline,L,3/22/2012,610864150,04/07/2012,7132,47.45,31.79,338413.4,226726.28,111687.12
Middle East and North Africa,Saudi Arabia,Snacks,Offline,L,4/25/2017,604870164,06/05/2017,3378,152.58,97.44,515415.24,329152.32,186262.92
Central America and the Caribbean,Cuba,Cereal,Online,H,3/13/2014,164655292,05/01/2014,4015,205.7,117.11,825885.5,470196.65,355688.85
Europe,Montenegro,Fruits,Offline,L,5/29/2016,313705861,07/10/2016,1390,9.33,6.92,12968.7,9618.8,3349.9
Central America and the Caribbean,Guatemala,Office Supplies,Online,M,1/17/2012,345820701,02/01/2012,4885,651.21,524.96,3181160.85,2564429.6,616731.25
Sub-Saharan Africa,Guinea,Baby Food,Online,M,12/27/2012,975111138,1/21/2013,5910,255.28,159.42,1508704.8,942172.2,566532.6
Australia and Oceania,Vanuatu,Snacks,Online,C,04/01/2013,286001002,4/15/2013,2907,152.58,97.44,443550.06,283258.08,160291.98
Middle East and North Africa,United Arab Emirates,Cosmetics,Offline,H,6/26/2015,483226621,08/06/2015,6350,437.2,263.33,2776220,1672145.5,1104074.5
Australia and Oceania,Australia,Clothes,Offline,M,1/17/2012,241836822,1/17/2012,3744,109.28,35.84,409144.32,134184.96,274959.36
Middle East and North Africa,Oman,Clothes,Online,H,07/03/2011,557192933,07/05/2011,4626,109.28,35.84,505529.28,165795.84,339733.44
Sub-Saharan Africa,Malawi,Meat,Online,L,2/17/2012,694968783,04/02/2012,5562,421.89,364.69,2346552.18,2028405.78,318146.4
Middle East and North Africa,Lebanon,Fruits,Online,H,04/05/2013,441150701,05/12/2013,5150,9.33,6.92,48049.5,35638,12411.5
Europe,Czech Republic,Cereal,Online,M,07/08/2011,552037513,08/05/2011,9022,205.7,117.11,1855825.4,1056566.42,799258.98
Australia and Oceania,Vanuatu,Cosmetics,Offline,C,2/24/2012,504240548,3/27/2012,4838,437.2,263.33,2115173.6,1273990.54,841183.06
Europe,Luxembourg,Vegetables,Offline,L,2/13/2010,744683635,04/01/2010,7291,154.06,90.93,1123251.46,662970.63,460280.83
Sub-Saharan Africa,Benin,Personal Care,Online,L,08/07/2016,440603101,9/15/2016,3104,81.73,56.67,253689.92,175903.68,77786.24
Middle East and North Africa,Somalia,Clothes,Offline,L,4/26/2017,629547774,05/03/2017,6031,109.28,35.84,659067.68,216151.04,442916.64
Europe,Switzerland,Meat,Online,L,3/21/2014,169378983,04/10/2014,1860,421.89,364.69,784715.4,678323.4,106392
Middle East and North Africa,Saudi Arabia,Personal Care,Offline,L,02/02/2014,688270556,03/04/2014,3407,81.73,56.67,278454.11,193074.69,85379.42
Asia,Laos,Meat,Online,L,3/21/2017,734708821,3/24/2017,5522,421.89,364.69,2329676.58,2013818.18,315858.4
Asia,Kyrgyzstan,Snacks,Online,C,08/06/2013,727492606,9/22/2013,84,152.58,97.44,12816.72,8184.96,4631.76
Middle East and North Africa,Algeria,Baby Food,Offline,M,12/30/2016,705733239,1/25/2017,1003,255.28,159.42,256045.84,159898.26,96147.58
Sub-Saharan Africa,Angola,Office Supplies,Offline,C,10/03/2015,778854548,10/03/2015,9224,651.21,524.96,6006761.04,4842231.04,1164530
Sub-Saharan Africa,Mauritania,Cosmetics,Offline,M,5/30/2014,676592862,07/09/2014,7718,437.2,263.33,3374309.6,2032380.94,1341928.66
Middle East and North Africa,Lebanon,Household,Offline,M,10/15/2014,198997008,10/16/2014,6492,668.27,502.54,4338408.84,3262489.68,1075919.16
Europe,Finland,Beverages,Online,H,3/16/2012,566428315,3/23/2012,7581,47.45,31.79,359718.45,240999.99,118718.46
Asia,Taiwan,Baby Food,Online,M,5/27/2014,369560611,6/13/2014,52,255.28,159.42,13274.56,8289.84,4984.72
Europe,Belgium,Snacks,Online,M,01/12/2015,519380223,1/17/2015,5005,152.58,97.44,763662.9,487687.2,275975.7
Asia,Laos,Office Supplies,Online,H,08/10/2012,197185981,09/11/2012,568,651.21,524.96,369887.28,298177.28,71710
Europe,San Marino,Office Supplies,Online,H,4/13/2014,904589211,05/04/2014,6905,651.21,524.96,4496605.05,3624848.8,871756.25
Australia and Oceania,Tuvalu,Household,Offline,H,11/23/2016,613513743,12/31/2016,1205,668.27,502.54,805265.35,605560.7,199704.65
Australia and Oceania,Kiribati,Clothes,Offline,M,10/22/2010,516195905,10/29/2010,2694,109.28,35.84,294400.32,96552.96,197847.36
Asia,Kyrgyzstan,Vegetables,Offline,H,12/03/2013,975184524,1/17/2014,7626,154.06,90.93,1174861.56,693432.18,481429.38
Australia and Oceania,Samoa ,Clothes,Online,M,12/08/2014,173340928,01/03/2015,4287,109.28,35.84,468483.36,153646.08,314837.28
Sub-Saharan Africa,Central African Republic,Personal Care,Offline,H,12/16/2014,863838946,01/05/2015,7995,81.73,56.67,653431.35,453076.65,200354.7
Asia,Uzbekistan,Cereal,Offline,L,03/02/2016,920164906,03/06/2016,6099,205.7,117.11,1254564.3,714253.89,540310.41
Central America and the Caribbean,Dominica,Meat,Online,M,06/12/2010,986117637,7/30/2010,2977,421.89,364.69,1255966.53,1085682.13,170284.4
Middle East and North Africa,Qatar,Cereal,Online,L,6/18/2013,425808465,7/18/2013,5042,205.7,117.11,1037139.4,590468.62,446670.78
Central America and the Caribbean,Saint Lucia,Beverages,Online,L,06/12/2015,473661220,07/03/2015,5736,47.45,31.79,272173.2,182347.44,89825.76
Europe,Bosnia and Herzegovina,Baby Food,Online,C,04/04/2015,184412229,04/07/2015,531,255.28,159.42,135553.68,84652.02,50901.66
Asia,South Korea,Vegetables,Offline,H,08/12/2016,483110320,9/30/2016,1934,154.06,90.93,297952.04,175858.62,122093.42
Central America and the Caribbean,Trinidad and Tobago,Household,Online,H,9/22/2016,115116822,11/01/2016,4481,668.27,502.54,2994517.87,2251881.74,742636.13
Middle East and North Africa,Somalia,Baby Food,Online,M,1/29/2010,596105563,3/20/2010,9738,255.28,159.42,2485916.64,1552431.96,933484.68
Sub-Saharan Africa,Nigeria,Snacks,Online,C,12/10/2014,362062871,12/23/2014,1304,152.58,97.44,198964.32,127061.76,71902.56
Sub-Saharan Africa,South Africa,Beverages,Online,H,7/28/2016,619287574,08/02/2016,9810,47.45,31.79,465484.5,311859.9,153624.6
Central America and the Caribbean,Saint Vincent and the Grenadines,Clothes,Offline,H,06/10/2016,394391000,6/23/2016,7916,109.28,35.84,865060.48,283709.44,581351.04
Sub-Saharan Africa,Sudan,Beverages,Online,M,4/16/2013,584296977,4/28/2013,5315,47.45,31.79,252196.75,168963.85,83232.9
Middle East and North Africa,Algeria,Clothes,Offline,M,07/05/2014,806241834,8/15/2014,3730,109.28,35.84,407614.4,133683.2,273931.2
Europe,Netherlands,Meat,Offline,M,03/08/2017,747774398,04/03/2017,1916,421.89,364.69,808341.24,698746.04,109595.2
Central America and the Caribbean,Panama,Meat,Online,H,11/24/2011,616755998,12/03/2011,660,421.89,364.69,278447.4,240695.4,37752
Australia and Oceania,Solomon Islands,Baby Food,Offline,C,10/20/2016,691360461,11/07/2016,7779,255.28,159.42,1985823.12,1240128.18,745694.94
Central America and the Caribbean,Saint Vincent and the Grenadines,Beverages,Online,C,04/01/2013,870074117,5/16/2013,3121,47.45,31.79,148091.45,99216.59,48874.86
Middle East and North Africa,Iran,Office Supplies,Online,H,03/01/2010,221695792,3/20/2010,3566,651.21,524.96,2322214.86,1872007.36,450207.5
Australia and Oceania,Vanuatu,Fruits,Online,M,7/13/2017,135336816,8/17/2017,8026,9.33,6.92,74882.58,55539.92,19342.66
Australia and Oceania,Federated States of Micronesia,Office Supplies,Online,L,4/29/2012,270421016,5/23/2012,2443,651.21,524.96,1590906.03,1282477.28,308428.75
Sub-Saharan Africa,Equatorial Guinea,Household,Online,H,6/16/2010,806684720,7/18/2010,4790,668.27,502.54,3201013.3,2407166.6,793846.7
Europe,Russia,Household,Online,M,07/10/2017,194176757,8/20/2017,72,668.27,502.54,48115.44,36182.88,11932.56
Middle East and North Africa,Azerbaijan,Baby Food,Offline,H,6/28/2017,103258454,8/15/2017,5326,255.28,159.42,1359621.28,849070.92,510550.36
Middle East and North Africa,Iraq,Office Supplies,Online,H,4/21/2014,474603641,5/30/2014,4619,651.21,524.96,3007938.99,2424790.24,583148.75
Sub-Saharan Africa,Mauritius ,Cereal,Online,H,12/26/2012,869198644,01/05/2013,4049,205.7,117.11,832879.3,474178.39,358700.91
Sub-Saharan Africa,Eritrea,Household,Online,H,11/01/2015,918342292,12/21/2015,6747,668.27,502.54,4508817.69,3390637.38,1118180.31
Europe,Ukraine,Cosmetics,Online,H,1/22/2011,773645913,1/28/2011,7873,437.2,263.33,3442075.6,2073197.09,1368878.51
Asia,Myanmar,Cosmetics,Online,C,6/13/2014,657033336,07/02/2014,9620,437.2,263.33,4205864,2533234.6,1672629.4
Europe,Bosnia and Herzegovina,Meat,Online,H,7/24/2012,410740888,09/01/2012,6211,421.89,364.69,2620358.79,2265089.59,355269.2
Europe,Latvia,Meat,Offline,M,12/15/2011,847317397,12/18/2011,8902,421.89,364.69,3755664.78,3246470.38,509194.4
Europe,Serbia,Beverages,Online,L,09/03/2012,599624192,9/21/2012,978,47.45,31.79,46406.1,31090.62,15315.48
Asia,Mongolia,Beverages,Offline,H,1/19/2012,170835101,02/12/2012,2758,47.45,31.79,130867.1,87676.82,43190.28
Central America and the Caribbean,Grenada,Cereal,Online,H,1/17/2016,584436452,02/09/2016,6588,205.7,117.11,1355151.6,771520.68,583630.92
Sub-Saharan Africa,Namibia,Office Supplies,Online,H,10/02/2012,234227073,10/12/2012,1851,651.21,524.96,1205389.71,971700.96,233688.75
Europe,Portugal,Office Supplies,Online,M,1/21/2014,734318292,03/04/2014,9956,651.21,524.96,6483446.76,5226501.76,1256945
Central America and the Caribbean,Barbados,Snacks,Online,H,12/21/2013,169133937,12/31/2013,9345,152.58,97.44,1425860.1,910576.8,515283.3
Asia,Sri Lanka,Cereal,Online,C,2/24/2015,743410336,3/20/2015,494,205.7,117.11,101615.8,57852.34,43763.46
Europe,Poland,Household,Offline,L,07/07/2017,232196319,08/04/2017,905,668.27,502.54,604784.35,454798.7,149985.65
Sub-Saharan Africa,Senegal,Beverages,Offline,L,6/30/2014,530853211,08/02/2014,117,47.45,31.79,5551.65,3719.43,1832.22
Australia and Oceania,Kiribati,Fruits,Online,L,12/07/2011,905054843,01/12/2012,4695,9.33,6.92,43804.35,32489.4,11314.95
Middle East and North Africa,Somalia,Household,Offline,C,9/27/2016,240787541,11/13/2016,3239,668.27,502.54,2164526.53,1627727.06,536799.47
